root	experiment_dir	run_dir	configs	run_status	trainer_state	global_step	latest_checkpoint	latest_checkpoint_step	latest_checkpoint_mtime	best_model_checkpoint	best_metric	tensorboard_event_files	inventory_generated_at
runs	runs/segmentation_gena_base_amt_unet	runs/segmentation_gena_base_amt_unet/20260728_110409_981923	segmentation/configs/gena_base_amt_unet.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_gena_base_amt_unet/20260728_110409_981923/checkpoint-44000/trainer_state.json	44000	runs/segmentation_gena_base_amt_unet/20260728_110409_981923/checkpoint-44000	44000	2026-07-29T12:20:53	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_gena_base_amt_unet/20260728_110409_981923/checkpoint-41000	0.42852910280927625	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_gena_base_amt_unet	runs/segmentation_gena_base_amt_unet/20260729_131509_977441	segmentation/configs/gena_base_amt_unet.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_gena_base_amt_unet/20260729_131509_977441/checkpoint-2000/trainer_state.json	2000	runs/segmentation_gena_base_amt_unet/20260729_131509_977441/checkpoint-2000	2000	2026-07-29T14:18:10	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_gena_base_amt_unet/20260729_131509_977441/checkpoint-2000	0.014917421417155035	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_moderngena_base_amt_unet	runs/segmentation_moderngena_base_amt_unet/20260727_203217_967691	segmentation/configs/moderngena_base_amt_unet.json,segmentation/configs/moderngena_base_amt_unet_multispecies_250k_resume_ckpt180000.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_moderngena_base_amt_unet/20260727_203217_967691/checkpoint-22000/trainer_state.json	22000	runs/segmentation_moderngena_base_amt_unet/20260727_203217_967691/checkpoint-22000	22000	2026-07-28T10:37:30	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_moderngena_base_amt_unet/20260727_203217_967691/checkpoint-1000	0.0	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_moderngena_base_amt_unet	runs/segmentation_moderngena_base_amt_unet/20260728_110254_352217	segmentation/configs/moderngena_base_amt_unet.json,segmentation/configs/moderngena_base_amt_unet_multispecies_250k_resume_ckpt180000.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_moderngena_base_amt_unet/20260728_110254_352217/checkpoint-11000/trainer_state.json	11000	runs/segmentation_moderngena_base_amt_unet/20260728_110254_352217/checkpoint-11000	11000	2026-07-28T16:54:49	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_moderngena_base_amt_unet/20260728_110254_352217/checkpoint-1000	0.0	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_moderngena_base_amt_unet	runs/segmentation_moderngena_base_amt_unet/20260730_091715_326997	segmentation/configs/moderngena_base_amt_unet.json,segmentation/configs/moderngena_base_amt_unet_multispecies_250k_resume_ckpt180000.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_moderngena_base_amt_unet/20260730_091715_326997/checkpoint-20000/trainer_state.json	20000	runs/segmentation_moderngena_base_amt_unet/20260730_091715_326997/checkpoint-20000	20000	2026-07-30T14:30:31	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_moderngena_base_amt_unet/20260730_091715_326997/checkpoint-20000	0.5345957300059567	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_moderngena_base_amt_unet	runs/segmentation_moderngena_base_amt_unet/20260730_214217_522505	segmentation/configs/moderngena_base_amt_unet.json,segmentation/configs/moderngena_base_amt_unet_multispecies_250k_resume_ckpt180000.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_moderngena_base_amt_unet/20260730_214217_522505/checkpoint-25000/trainer_state.json	25000	runs/segmentation_moderngena_base_amt_unet/20260730_214217_522505/checkpoint-25000	25000	2026-07-30T23:11:14	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_moderngena_base_amt_unet/20260730_214217_522505/checkpoint-25000	0.6213053105120725	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_moderngena_base_amt_unet	runs/segmentation_moderngena_base_amt_unet/20260731_064854_189585	segmentation/configs/moderngena_base_amt_unet.json,segmentation/configs/moderngena_base_amt_unet_multispecies_250k_resume_ckpt180000.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_moderngena_base_amt_unet/20260731_064854_189585/checkpoint-30000/trainer_state.json	30000	runs/segmentation_moderngena_base_amt_unet/20260731_064854_189585/checkpoint-30000	30000	2026-07-31T08:37:56	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_moderngena_base_amt_unet/20260731_064854_189585/checkpoint-30000	0.6222390421798665	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_moderngena_base_amt_unet	runs/segmentation_moderngena_base_amt_unet/20260731_090733_423696	segmentation/configs/moderngena_base_amt_unet.json,segmentation/configs/moderngena_base_amt_unet_multispecies_250k_resume_ckpt180000.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_moderngena_base_amt_unet/20260731_090733_423696/checkpoint-35000/trainer_state.json	35000	runs/segmentation_moderngena_base_amt_unet/20260731_090733_423696/checkpoint-35000	35000	2026-07-31T10:35:55	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_moderngena_base_amt_unet/20260731_064854_189585/checkpoint-30000	0.6222390421798665	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_moderngena_base_amt_unet	runs/segmentation_moderngena_base_amt_unet/20260731_111143_707069	segmentation/configs/moderngena_base_amt_unet.json,segmentation/configs/moderngena_base_amt_unet_multispecies_250k_resume_ckpt180000.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_moderngena_base_amt_unet/20260731_111143_707069/checkpoint-45000/trainer_state.json	45000	runs/segmentation_moderngena_base_amt_unet/20260731_111143_707069/checkpoint-45000	45000	2026-07-31T13:56:40	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_moderngena_base_amt_unet/20260731_111143_707069/checkpoint-45000	0.659015338410383	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_moderngena_base_amt_unet	runs/segmentation_moderngena_base_amt_unet/20260801_134417_174049	segmentation/configs/moderngena_base_amt_unet.json,segmentation/configs/moderngena_base_amt_unet_multispecies_250k_resume_ckpt180000.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_moderngena_base_amt_unet/20260801_134417_174049/checkpoint-135000/trainer_state.json	135000	runs/segmentation_moderngena_base_amt_unet/20260801_134417_174049/checkpoint-135000	135000	2026-08-02T12:29:42	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_moderngena_base_amt_unet/20260801_134417_174049/checkpoint-135000	0.6723558126920991	1	2026-08-03T15:50:38+03:00
