config	partition	job_file	job_id	submitted_at	notes	current_state	elapsed	exit_code	reason	start	end	status_checked_at
finding/configs/region_moderngena_large_amt_unet.json	rnd/shared	finding/jobs/job_region_moderngena_large_amt_unet_shared.sh	102442	2026-07-17T11:24:22+03:00	gene finding shared batch using finding/train.py	FAILED	00:00:30	1:0	missing HF model/tokenizer in offline cache	2026-07-17T13:11:52	2026-07-17T13:12:22	2026-07-21T18:47:36+03:00
finding/configs/region_moderngena_large_plain.json	rnd/shared	finding/jobs/job_region_moderngena_large_plain_shared.sh	102443	2026-07-17T11:24:22+03:00	gene finding shared batch using finding/train.py	FAILED	00:00:41	1:0	missing HF model/tokenizer in offline cache	2026-07-17T13:12:14	2026-07-17T13:12:55	2026-07-21T18:47:36+03:00
finding/configs/region_moderngena_large_rmt_unet.json	rnd/shared	finding/jobs/job_region_moderngena_large_rmt_unet_shared.sh	102444	2026-07-17T11:24:22+03:00	gene finding shared batch using finding/train.py	FAILED	00:00:31	1:0	missing HF model/tokenizer in offline cache	2026-07-17T13:12:14	2026-07-17T13:12:45	2026-07-21T18:47:36+03:00
finding/configs/region_moderngena_large_unet.json	rnd/shared	finding/jobs/job_region_moderngena_large_unet_shared.sh	102445	2026-07-17T11:24:22+03:00	gene finding shared batch using finding/train.py	FAILED	00:00:41	1:0	missing HF model/tokenizer in offline cache	2026-07-17T13:12:14	2026-07-17T13:12:55	2026-07-21T18:47:36+03:00
finding/configs/edge_gena_base_amt_plain.json	rnd/shared	finding/jobs/job_edge_gena_base_amt_plain_shared.sh	102699	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	FAILED	00:01:32	1:0	sequence length 528 exceeds 512 positional limit	2026-07-17T20:22:26	2026-07-17T20:23:58	2026-07-21T18:47:36+03:00
finding/configs/edge_gena_base_amt_unet.json	rnd/shared	finding/jobs/job_edge_gena_base_amt_unet_shared.sh	102700	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	FAILED	00:01:33	1:0	sequence length 528 exceeds 512 positional limit	2026-07-17T20:22:26	2026-07-17T20:23:59	2026-07-21T18:47:36+03:00
finding/configs/edge_gena_base_plain.json	rnd/shared	finding/jobs/job_edge_gena_base_plain_shared.sh	102701	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-22:00:47	0:0		2026-07-17T20:46:49	Unknown	2026-07-21T18:47:36+03:00
finding/configs/edge_gena_base_rmt_unet.json	rnd/shared	finding/jobs/job_edge_gena_base_rmt_unet_shared.sh	102702	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-22:01:14	0:0		2026-07-17T20:46:22	Unknown	2026-07-21T18:47:36+03:00
finding/configs/edge_gena_base_unet.json	rnd/shared	finding/jobs/job_edge_gena_base_unet_shared.sh	102703	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-22:24:08	0:0		2026-07-17T20:23:28	Unknown	2026-07-21T18:47:36+03:00
finding/configs/edge_gena_large_amt_plain.json	rnd/shared	finding/jobs/job_edge_gena_large_amt_plain_shared.sh	102704	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	FAILED	00:01:30	1:0	sequence length 528 exceeds 512 positional limit	2026-07-17T20:23:28	2026-07-17T20:24:58	2026-07-21T18:47:36+03:00
finding/configs/edge_gena_large_amt_unet.json	rnd/shared	finding/jobs/job_edge_gena_large_amt_unet_shared.sh	102705	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	FAILED	00:01:35	1:0	sequence length 528 exceeds 512 positional limit	2026-07-17T20:23:28	2026-07-17T20:25:03	2026-07-21T18:47:36+03:00
finding/configs/edge_moderngena_base_amt_plain.json	rnd/shared	finding/jobs/job_edge_moderngena_base_amt_plain_shared.sh	102706	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-22:00:47	0:0		2026-07-17T20:46:49	Unknown	2026-07-21T18:47:36+03:00
finding/configs/edge_moderngena_base_amt_unet.json	rnd/shared	finding/jobs/job_edge_moderngena_base_amt_unet_shared.sh	102707	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-21:59:26	0:0		2026-07-17T20:48:10	Unknown	2026-07-21T18:47:36+03:00
finding/configs/edge_moderngena_large_amt_plain.json	rnd/shared	finding/jobs/job_edge_moderngena_large_amt_plain_shared.sh	102708	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	FAILED	00:00:45	1:0	torchrun child process failed	2026-07-17T20:48:10	2026-07-17T20:48:55	2026-07-21T18:47:36+03:00
finding/configs/edge_moderngena_large_amt_unet.json	rnd/shared	finding/jobs/job_edge_moderngena_large_amt_unet_shared.sh	102709	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-22:16:40	0:0		2026-07-17T20:30:56	Unknown	2026-07-21T18:47:36+03:00
finding/configs/edge_moderngena_large_plain.json	rnd/shared	finding/jobs/job_edge_moderngena_large_plain_shared.sh	102710	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-21:58:47	0:0		2026-07-17T20:48:49	Unknown	2026-07-21T18:47:36+03:00
finding/configs/edge_moderngena_large_rmt_unet.json	rnd/shared	finding/jobs/job_edge_moderngena_large_rmt_unet_shared.sh	102711	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-21:59:26	0:0		2026-07-17T20:48:10	Unknown	2026-07-21T18:47:36+03:00
finding/configs/edge_moderngena_large_unet.json	rnd/shared	finding/jobs/job_edge_moderngena_large_unet_shared.sh	102712	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-22:16:40	0:0		2026-07-17T20:30:56	Unknown	2026-07-21T18:47:36+03:00
finding/configs/region_gena_base_amt_plain.json	rnd/shared	finding/jobs/job_region_gena_base_amt_plain_shared.sh	102713	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	FAILED	00:01:25	1:0	sequence length 528 exceeds 512 positional limit	2026-07-17T20:23:58	2026-07-17T20:25:23	2026-07-21T18:47:36+03:00
finding/configs/region_gena_base_amt_unet.json	rnd/shared	finding/jobs/job_region_gena_base_amt_unet_shared.sh	102714	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	FAILED	00:01:25	1:0	sequence length 528 exceeds 512 positional limit	2026-07-17T20:23:58	2026-07-17T20:25:23	2026-07-21T18:47:36+03:00
finding/configs/region_gena_base_plain.json	rnd/shared	finding/jobs/job_region_gena_base_plain_shared.sh	102715	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-22:16:40	0:0		2026-07-17T20:30:56	Unknown	2026-07-21T18:47:36+03:00
finding/configs/region_gena_base_rmt_unet.json	rnd/shared	finding/jobs/job_region_gena_base_rmt_unet_shared.sh	102716	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-21:58:47	0:0		2026-07-17T20:48:49	Unknown	2026-07-21T18:47:36+03:00
finding/configs/region_gena_base_unet.json	rnd/shared	finding/jobs/job_region_gena_base_unet_shared.sh	102717	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	FAILED	00:01:03	1:0	torchrun child process failed	2026-07-17T20:24:30	2026-07-17T20:25:33	2026-07-21T18:47:36+03:00
finding/configs/region_gena_large_amt_plain.json	rnd/shared	finding/jobs/job_region_gena_large_amt_plain_shared.sh	102718	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	FAILED	00:00:57	1:0	torchrun child process failed	2026-07-17T20:24:30	2026-07-17T20:25:27	2026-07-21T18:47:36+03:00
finding/configs/region_gena_large_amt_unet.json	rnd/shared	finding/jobs/job_region_gena_large_amt_unet_shared.sh	102719	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	FAILED	00:01:35	1:0	sequence length 528 exceeds 512 positional limit	2026-07-17T20:24:30	2026-07-17T20:26:05	2026-07-21T18:47:36+03:00
finding/configs/region_moderngena_base_amt_plain.json	rnd/shared	finding/jobs/job_region_moderngena_base_amt_plain_shared.sh	102720	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-22:03:56	0:0		2026-07-17T20:43:40	Unknown	2026-07-21T18:47:36+03:00
finding/configs/region_moderngena_base_amt_unet.json	rnd/shared	finding/jobs/job_region_moderngena_base_amt_unet_shared.sh	102721	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-22:03:56	0:0		2026-07-17T20:43:40	Unknown	2026-07-21T18:47:36+03:00
finding/configs/region_moderngena_large_amt_plain.json	rnd/shared	finding/jobs/job_region_moderngena_large_amt_plain_shared.sh	102722	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	FAILED	00:00:45	1:0	torchrun child process failed	2026-07-17T20:49:57	2026-07-17T20:50:42	2026-07-21T18:47:36+03:00
finding/configs/region_moderngena_large_amt_unet.json	rnd/shared	finding/jobs/job_region_moderngena_large_amt_unet_shared.sh	102723	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-22:01:14	0:0		2026-07-17T20:46:22	Unknown	2026-07-21T18:47:36+03:00
finding/configs/region_moderngena_large_plain.json	rnd/shared	finding/jobs/job_region_moderngena_large_plain_shared.sh	102724	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	FAILED	00:00:46	1:0	torchrun child process failed	2026-07-17T20:46:22	2026-07-17T20:47:08	2026-07-21T18:47:36+03:00
finding/configs/region_moderngena_large_rmt_unet.json	rnd/shared	finding/jobs/job_region_moderngena_large_rmt_unet_shared.sh	102725	2026-07-17T20:21:37+03:00	restart after installing missing HF checkpoint cache	RUNNING	3-22:01:45	0:0		2026-07-17T20:45:51	Unknown	2026-07-21T18:47:36+03:00
